,Y,Yhat,confidence
252,120,120,0.9596
253,120,120,0.5365
254,120,120,0.9223
255,120,120,0.9998
256,120,120,0.9994
257,120,120,0.9999
258,120,120,1.0
259,120,120,0.9998
260,121,121,0.9995
261,121,121,0.9837
262,121,121,0.8104
263,121,923,0.5014
264,121,118,0.9587
265,121,121,0.9901
266,121,121,0.8136
267,121,121,0.9881
268,121,121,0.613
269,121,118,0.4134
270,122,124,0.8563
271,122,122,0.4012
272,122,122,0.6803
273,122,122,0.6716
274,122,762,0.6968
275,122,122,0.9927
276,122,124,0.3568
277,122,124,0.8077
278,122,842,0.2924
279,122,122,0.3826
280,123,314,0.5083
281,123,123,0.9958
282,123,123,0.9964
283,123,123,0.9535
284,123,123,0.8042
285,123,123,0.9933
286,123,123,0.8637
287,123,123,0.9983
288,123,123,0.9993
289,123,123,0.9951
290,124,124,0.5875
291,124,124,0.6895
292,124,71,0.1844
293,124,124,0.4092
294,124,120,0.5601
295,124,124,0.9268
296,124,124,0.121
297,124,124,0.8717
298,124,124,0.6472
299,124,124,0.9964
300,125,119,0.4521
301,125,125,0.8875
302,125,120,0.6817
303,125,616,0.2343
304,125,125,0.9983
305,125,125,0.9999
306,125,125,0.9251
307,125,125,0.9801
308,125,125,0.4058
309,125,125,0.9988
310,126,126,0.9923
311,126,126,0.4846
312,126,116,0.5814
313,126,117,0.4703
314,126,113,0.651
315,126,79,0.9409
316,126,116,0.9996
317,126,126,0.5158
318,126,125,0.2941
319,126,69,0.5086
320,127,127,0.9576
321,127,127,0.8793
322,127,127,0.9427
323,127,22,0.3355
324,127,345,0.4365
325,127,127,0.8316
326,127,127,0.9938
327,127,127,0.9948
328,127,127,0.9971
329,127,127,0.981
330,128,128,0.9392
331,128,128,0.9516
332,128,127,0.6154
333,128,128,0.9
334,128,128,0.8637
335,128,128,0.9777
336,128,128,0.9829
337,128,128,0.9946
338,128,128,0.9603
339,128,128,0.8294
340,129,132,0.8018
341,129,129,0.8645
342,129,129,1.0
343,129,129,0.9982
344,129,129,0.7098
345,129,129,0.9998
346,129,975,0.3437
347,129,129,0.8736
348,129,129,0.9997
349,129,142,0.3317
350,13,13,0.9774
351,13,13,0.9902
352,13,13,0.9408
353,13,13,0.9996
354,13,13,0.9833
355,13,13,0.9998
356,13,13,0.9664
357,13,13,0.9994
358,13,13,0.9992
359,13,15,0.1236
360,130,142,0.1583
361,130,130,0.9967
362,130,130,0.9734
363,130,978,0.2792
364,130,129,0.9997
365,130,130,0.9998
366,130,130,0.7185
367,130,130,0.9996
368,130,130,0.9999
369,130,975,0.6307
370,131,131,0.9932
371,131,131,0.9681
372,131,131,0.9977
373,131,131,0.9953
374,131,131,0.9921
375,131,131,0.9844
376,131,131,0.9919
377,131,18,0.3529
378,131,131,0.952
379,131,131,0.9915
380,132,141,0.5871
381,132,132,0.8719
382,132,129,0.607
383,132,129,0.8305
384,132,134,0.5455
385,132,978,0.4544
386,132,100,0.6223
387,132,132,0.9841
388,132,132,0.9938
389,132,132,0.9739
390,133,133,0.9975
391,133,133,1.0
392,133,133,0.9977
393,133,133,0.6813
394,133,21,0.5621
395,133,21,0.6202
396,133,133,0.718
397,133,24,0.3703
398,133,133,0.98
399,133,133,0.9962
400,134,134,0.9991
401,134,131,0.3661
402,134,134,0.9724
403,134,134,0.7294
404,134,134,0.9478
405,134,134,0.3628
406,134,134,0.9877
407,134,134,0.2068
408,134,134,0.9094
409,134,134,0.8446
410,135,135,0.999
411,135,128,0.7531
412,135,144,0.8273
413,135,135,0.9938
414,135,135,1.0
415,135,128,0.3668
416,135,128,0.2395
417,135,131,0.5606
418,135,128,0.9358
419,135,138,0.7772
420,136,136,0.9998
421,136,136,0.8473
422,136,136,0.9961
423,136,136,0.5613
424,136,136,0.8824
425,136,136,0.9973
426,136,136,0.9959
427,136,136,0.999
428,136,136,0.9991
429,136,136,0.9093
430,137,137,0.9998
431,137,131,0.3767
432,137,137,1.0
433,137,137,0.9999
434,137,137,0.8141
435,137,137,0.7278
436,137,137,0.9987
437,137,137,0.9482
438,137,137,0.6157
439,137,137,0.7283
440,138,138,1.0
441,138,138,1.0
442,138,346,0.8938
443,138,138,0.9999
444,138,138,0.9951
445,138,138,0.9971
446,138,138,0.8777
447,138,138,0.9988
448,138,138,0.9744
449,138,138,0.9985
450,139,139,0.9999
451,139,139,0.9932
452,139,139,0.9994
453,139,139,0.5489
454,139,139,0.9945
455,139,139,0.9987
456,139,139,0.9991
457,139,139,0.9111
458,139,139,0.9997
459,139,139,0.999
460,14,14,0.8777
461,14,136,0.7445
462,14,14,0.9995
463,14,14,0.9999
464,14,14,0.9986
465,14,14,0.9969
466,14,761,0.354
467,14,14,0.9999
468,14,14,0.9995
469,14,14,0.9997
470,140,140,0.9984
471,140,140,0.9596
472,140,140,0.9901
473,140,140,0.8022
474,140,140,0.8335
475,140,140,0.9677
476,140,140,0.9951
477,140,140,0.9989
478,140,140,0.9617
479,140,140,0.9947
480,141,142,0.7585
481,141,141,0.5213
482,141,141,0.9881
483,141,141,0.9998
484,141,20,0.387
485,141,141,0.9992
486,141,141,0.996
487,141,141,0.9421
488,141,140,0.5646
489,141,141,0.7249
490,142,142,0.998
491,142,460,0.2866
492,142,142,0.9977
493,142,142,0.9999
494,142,142,0.9841
495,142,99,0.2781
496,142,142,0.9951
497,142,142,0.2702
498,142,142,0.9996
499,142,142,0.99
500,143,143,1.0
501,143,143,0.9979
502,143,143,0.9995
503,143,143,0.9994
504,143,143,0.9976
505,143,143,0.8711
506,143,143,0.9963
507,143,143,0.9107
508,143,143,0.9956
509,143,143,0.9986
510,144,144,0.9953
511,144,395,0.3319
512,144,144,0.8068
513,144,144,0.9999
514,144,144,0.9739
515,144,144,0.9921
516,144,525,0.3869
517,144,144,0.9995
518,144,144,0.9976
519,144,144,0.9996
520,145,145,0.9999
521,145,145,1.0
522,145,145,1.0
523,145,145,0.9997
524,145,145,0.9929
525,145,145,0.9968
526,145,96,0.7499
527,145,145,1.0
528,145,145,1.0
529,145,145,0.9998
530,146,146,0.9996
531,146,146,0.9999
532,146,146,0.9872
533,146,146,0.9953
534,146,146,0.9782
535,146,146,0.9896
536,146,146,0.9997
537,146,146,0.9998
538,146,146,0.9999
539,146,146,0.9977
540,147,149,0.9361
541,147,147,0.2746
542,147,147,0.9975
543,147,147,0.8322
544,147,150,0.3782
545,147,51,0.5354
546,147,147,0.8881
547,147,147,0.999
548,147,147,0.9102
549,147,147,0.4781
550,148,148,0.5912
551,148,148,0.9924
552,148,694,0.5325
553,148,148,0.9647
554,148,148,0.2394
555,148,148,0.5143
556,148,148,0.9773
557,148,148,0.9842
558,148,148,0.9991
559,148,148,0.9904
560,149,149,0.8418
561,149,149,0.9147
562,149,149,0.3244
563,149,149,0.9999
564,149,149,0.998
565,149,149,0.9973
566,149,149,1.0
567,149,149,0.9975
568,149,150,0.4596
569,149,149,0.9949
570,15,13,0.9172
571,15,21,0.3149
572,15,15,1.0
573,15,15,0.9712
574,15,15,0.9387
575,15,15,0.9998
576,15,15,0.9999
577,15,15,0.9998
578,15,15,0.9997
579,15,15,0.987
580,150,245,0.5131
581,150,150,0.5594
582,150,148,0.7324
583,150,150,0.8031
584,150,150,0.9846
585,150,150,0.8883
586,150,150,0.99
587,150,148,0.1908
588,150,150,0.9659
589,150,983,0.2192
590,151,223,0.8302
591,151,151,0.7301
592,151,151,0.7189
593,151,157,0.7482
594,151,151,0.9986
595,151,151,0.7873
596,151,151,0.9981
597,151,179,0.7726
598,151,162,0.2515
599,151,151,0.3184
600,152,152,0.8126
601,152,152,0.6368
602,152,152,0.9861
603,152,152,0.9575
604,152,152,0.9961
605,152,152,0.7588
606,152,152,0.431
607,152,152,0.9754
608,152,152,0.3626
609,152,154,0.9277
610,153,153,0.9654
611,153,153,0.9851
612,153,153,0.9928
613,153,153,0.9876
614,153,153,0.8345
615,153,153,0.9409
616,153,265,0.7651
617,153,204,0.4368
618,153,203,0.4972
619,153,153,0.8768
620,154,154,0.9387
621,154,154,0.9808
622,154,154,0.9599
623,154,154,0.9996
624,154,154,0.7678
625,154,154,0.6661
626,154,154,0.472
627,154,154,0.9616
628,154,154,0.8713
629,154,154,0.8749
630,155,155,0.8072
631,155,155,0.9434
632,155,155,0.9458
633,155,697,0.5773
634,155,202,0.6728
635,155,155,0.9945
636,155,187,0.7158
637,155,155,0.6483
638,155,155,0.4386
639,155,204,0.9594
640,156,156,0.9954
641,156,428,0.3589
642,156,156,0.9591
643,156,169,0.4603
644,156,156,0.9985
645,156,156,0.9848
646,156,156,0.9789
647,156,156,0.9883
648,156,156,0.977
649,156,156,0.9841
650,157,254,0.1852
651,157,157,0.9996
652,157,157,0.9997
653,157,157,0.9999
654,157,232,0.5776
655,157,185,0.3472
656,157,151,0.863
657,157,157,0.5626
658,157,157,0.7659
659,157,157,0.9259
660,158,158,0.9706
661,158,158,0.8149
662,158,162,0.7796
663,158,158,0.9011
664,158,158,0.9937
665,158,253,0.7556
666,158,235,0.2525
667,158,158,0.8386
668,158,172,0.2378
669,158,237,0.9938
670,159,211,0.6388
671,159,159,0.595
672,159,159,0.6154
673,159,253,0.2688
674,159,207,0.6839
675,159,168,0.3821
676,159,159,0.5246
677,159,159,0.4192
678,159,975,0.4969
679,159,159,0.441
680,16,376,0.1015
681,16,91,0.5274
682,16,674,0.9987
683,16,16,0.9997
684,16,16,0.9995
685,16,16,0.9884
686,16,16,0.9925
687,16,16,0.9972
688,16,95,0.92
689,16,16,0.6615
690,160,160,0.9997
691,160,160,0.9842
692,160,160,0.8909
693,160,213,0.3581
694,160,160,0.9993
695,160,160,0.9975
696,160,160,0.9975
697,160,160,0.9256
698,160,160,0.9996
699,160,160,0.9962
700,161,217,0.9085
701,161,166,0.6887
702,161,161,0.9871
703,161,162,0.4725
704,161,161,0.9265
705,161,161,0.9351
706,161,163,0.2939
707,161,161,0.9809
708,161,166,0.4453
709,161,161,0.9939
710,162,161,0.2733
711,162,162,0.9866
712,162,159,0.3552
713,162,162,0.9038
714,162,253,0.3819
715,162,162,0.2869
716,162,162,0.5719
717,162,167,0.547
718,162,162,0.5045
719,162,162,0.887
720,163,163,0.9823
721,163,163,0.9983
722,163,163,0.9982
723,163,163,0.9852
724,163,163,0.9716
725,163,246,0.5281
726,163,165,0.6332
727,163,209,0.1907
728,163,214,0.7637
729,163,168,0.9836
730,164,164,0.6021
731,164,164,0.9322
732,164,164,0.6273
733,164,164,0.999
734,164,164,0.9901
735,164,164,0.9992
736,164,164,0.9404
737,164,164,0.9989
738,164,251,0.4391
739,164,164,0.968
740,165,165,0.6706
741,165,214,0.5098
742,165,165,0.9119
743,165,236,0.6373
744,165,165,0.9896
745,165,165,0.8259
746,165,236,0.5611
747,165,165,0.7183
748,165,236,0.869
749,165,165,0.9573
750,166,195,0.1586
751,166,166,0.7537
752,166,166,0.7485
753,166,166,0.7113
754,166,516,0.3246
755,166,162,0.4359
756,166,162,0.5614
757,166,166,0.7902
758,166,162,0.7302
759,166,162,0.8844
760,167,167,0.4907
761,167,167,0.608
762,167,173,0.3997
763,167,164,0.3703
764,167,167,0.8471
765,167,167,0.6534
766,167,166,0.6443
767,167,248,0.1448
768,167,161,0.5785
769,167,167,0.7229
770,168,168,0.7733
771,168,163,0.952
772,168,168,0.9101
773,168,236,0.8739
774,168,168,0.8629
775,168,168,0.8892
776,168,159,0.2734
777,168,165,0.7132
778,168,159,0.8557
779,168,168,0.4662
780,169,169,0.965
781,169,169,0.9984
782,169,169,0.9991
783,169,169,0.9984
784,169,169,0.9998
785,169,169,0.7647
786,169,169,0.8646
787,169,224,0.2354
788,169,257,0.4298
789,169,169,0.6235
790,17,17,0.9985
791,17,17,0.9997
792,17,18,0.8789
793,17,17,0.9776
794,17,14,0.5138
795,17,17,1.0
796,17,17,0.9955
797,17,17,0.9934
798,17,17,0.9786
799,17,17,1.0
800,170,233,0.21
801,170,170,0.9967
802,170,170,0.8943
803,170,170,0.9698
804,170,170,0.9507
805,170,170,0.8247
806,170,170,0.8745
807,170,170,0.5886
808,170,170,0.9905
809,170,170,0.984
810,171,172,0.7038
811,171,151,0.3734
812,171,171,0.9952
813,171,171,0.9026
814,171,173,0.3719
815,171,171,0.6715
816,171,145,0.3891
817,171,172,0.826
818,171,171,0.8578
819,171,178,0.6055
820,172,172,0.9086
821,172,172,0.9211
822,172,171,0.573
823,172,172,0.9651
824,172,172,0.8824
825,172,741,0.202
826,172,172,0.9861
827,172,172,0.8789
828,172,172,0.5867
829,172,172,0.7719
830,173,171,0.3884
831,173,173,0.9233
832,173,211,0.5537
833,173,578,0.8894
834,173,173,0.9992
835,173,173,0.9897
836,173,173,0.9999
837,173,173,0.567
838,173,173,0.9962
839,173,237,0.2504
840,174,230,0.4968
841,174,174,0.8553
842,174,537,0.7495
843,174,174,0.9935
844,174,174,0.8676
845,174,174,0.998
846,174,235,0.4981
847,174,174,0.9552
848,174,174,0.6771
849,174,174,0.9991
850,175,175,0.9636
851,175,265,0.4789
852,175,175,0.8034
853,175,175,0.4847
854,175,175,0.7305
855,175,175,0.9988
856,175,170,0.755
857,175,228,0.9414
858,175,175,0.9991
859,175,175,0.2814
860,176,213,0.612
861,176,172,0.4981
862,176,172,0.5361
863,176,184,0.3255
864,176,169,0.8844
865,176,176,0.8243
866,176,235,0.365
867,176,176,0.9997
868,176,171,0.3452
869,176,176,0.5978
870,177,717,0.8808
871,177,177,0.5963
872,177,177,0.9784
873,177,177,0.8883
874,177,177,0.9265
875,177,177,0.9452
876,177,177,0.9848
877,177,177,0.9975
878,177,170,0.4265
879,177,177,0.9297
880,178,178,0.5169
881,178,246,0.8483
882,178,178,0.769
883,178,178,0.9737
884,178,210,0.7395
885,178,178,1.0
886,178,208,0.4845
887,178,178,0.9794
888,178,178,0.9993
889,178,178,0.8117
890,179,865,0.5547
891,179,179,0.6386
892,179,180,0.7049
893,179,106,0.6566
894,179,179,0.9514
895,179,179,0.5064
896,179,180,0.5307
897,179,180,0.8677
898,179,179,0.3431
899,179,179,0.8805
900,18,18,0.9968
901,18,18,0.9997
902,18,18,0.8893
903,18,18,0.9929
904,18,18,0.9994
905,18,18,0.4173
906,18,17,0.8374
907,18,18,0.9973
908,18,18,0.9581
909,18,18,0.2469
910,180,273,0.5778
911,180,159,0.7032
912,180,242,0.5657
913,180,242,0.8625
914,180,246,0.6103
915,180,180,0.7771
916,180,180,0.6778
917,180,180,0.8078
918,180,242,0.8245
919,180,242,0.9399
920,181,181,0.9838
921,181,267,0.8074
922,181,181,0.9797
923,181,181,0.9967
924,181,181,0.9972
925,181,181,0.9997
926,181,181,0.9983
927,181,181,0.9998
928,181,194,0.628
929,181,265,0.247
930,182,192,0.6658
931,182,182,0.9852
932,182,196,0.1948
933,182,182,0.9897
934,182,198,0.612
935,182,182,0.2374
936,182,272,0.5211
937,182,188,0.8999
938,182,182,0.9502
939,182,191,0.8872
940,183,183,0.5564
941,183,183,0.9876
942,183,183,0.6832
943,183,265,0.4831
944,183,183,0.9973
945,183,206,0.3287
946,183,24,0.6139
947,183,183,0.9461
948,183,183,0.9986
949,183,183,0.683
950,184,184,0.968
951,184,184,0.9603
952,184,184,0.9994
953,184,184,0.9993
954,184,184,0.9779
955,184,189,0.7112
956,184,202,0.9054
957,184,249,0.2729
958,184,184,0.9109
959,184,184,0.6375
960,185,185,0.9746
961,185,186,0.8987
962,185,185,0.9764
963,185,185,0.5533
964,185,187,0.361
965,185,185,0.9775
966,185,186,0.3452
967,185,185,0.9864
968,185,185,0.9841
969,185,202,0.6155
970,186,192,0.3768
971,186,172,0.6361
972,186,188,0.2171
973,186,192,0.7582
974,186,186,0.7438
975,186,706,0.7524
976,186,192,0.3739
977,186,185,0.7662
978,186,463,0.4398
979,186,186,0.9776
980,187,201,0.7938
981,187,187,0.997
982,187,187,0.9665
983,187,187,0.9753
984,187,187,0.3017
985,187,187,0.6985
986,187,187,0.8988
987,187,192,0.8939
988,187,201,0.5338
989,187,187,0.5683
990,188,188,0.9128
991,188,188,0.8541
992,188,181,0.7485
993,188,188,0.9197
994,188,188,0.5894
995,188,188,0.7515
996,188,182,0.4351
997,188,188,0.9794
998,188,189,0.2758
999,188,188,0.5983
1000,189,184,0.345
1001,189,191,0.7426
1002,189,192,0.9172
1003,189,189,0.9966
1004,189,177,0.3891
1005,189,189,0.8699
1006,189,189,0.7533
1007,189,192,0.8086
1008,189,197,0.8256
1009,189,226,0.5499
1010,19,11,0.9094
1011,19,384,0.109
1012,19,19,0.9955
1013,19,19,0.9992
1014,19,19,0.9838
1015,19,19,0.9982
1016,19,16,0.6469
1017,19,19,0.9952
1018,19,19,0.9977
1019,19,19,0.9999
1020,190,190,0.9978
1021,190,190,0.5064
1022,190,190,0.9737
1023,190,190,0.9698
1024,190,219,0.2459
1025,190,190,0.9992
1026,190,831,0.9738
1027,190,153,0.5297
1028,190,190,0.9812
1029,190,190,0.4968
1030,191,191,0.9976
1031,191,242,0.3483
1032,191,706,0.8867
1033,191,191,0.9803
1034,191,191,0.738
1035,191,191,0.9923
1036,191,191,0.8418
1037,191,853,0.8504
1038,191,874,0.6711
1039,191,191,0.997
1040,192,192,0.9995
1041,192,192,0.9993
1042,192,192,0.9825
1043,192,192,0.9905
1044,192,283,0.3378
1045,192,203,0.5653
1046,192,269,0.5127
1047,192,192,0.9426
1048,192,192,0.994
1049,192,295,0.535
1050,193,187,0.3402
1051,193,187,0.7554
1052,193,201,0.4247
1053,193,182,0.917
1054,193,182,0.9805
1055,193,187,0.4153
1056,193,186,0.4753
1057,193,239,0.5205
1058,193,184,0.847
1059,193,193,0.6668
1060,194,194,0.9998
1061,194,194,0.9957
1062,194,194,0.9172
1063,194,190,0.9861
1064,194,194,0.9996
1065,194,194,0.9993
1066,194,204,0.7828
1067,194,207,0.3626
1068,194,190,0.9982
1069,194,190,0.4274
1070,195,195,0.1343
1071,195,195,0.8142
1072,195,516,0.2551
1073,195,195,0.9587
1074,195,195,0.9851
1075,195,195,0.887
1076,195,195,0.9609
1077,195,195,0.3904
1078,195,179,0.3448
1079,195,195,0.9581
1080,196,196,0.4572
1081,196,197,0.7949
1082,196,196,0.8197
1083,196,196,0.6192
1084,196,196,0.2721
1085,196,198,0.7589
1086,196,198,0.8338
1087,196,196,0.3737
1088,196,198,0.8238
1089,196,204,0.8704
1090,197,197,0.8969
1091,197,256,0.6104
1092,197,199,0.7254
1093,197,197,0.6745
1094,197,197,0.9582
1095,197,189,0.3023
1096,197,214,0.1754
1097,197,183,0.248
1098,197,197,0.8978
1099,197,225,0.9242
1100,198,197,0.9238
1101,198,262,0.5288
1102,198,205,0.2646
1103,198,232,0.3429
1104,198,197,0.5576
1105,198,197,0.4224
1106,198,197,0.7422
1107,198,198,0.9809
1108,198,197,0.457
1109,198,197,0.8252
1110,199,199,0.9992
1111,199,179,0.4962
1112,199,203,0.3584
1113,199,199,0.9974
1114,199,199,0.9906
1115,199,201,0.8667
1116,199,199,0.7742
1117,199,203,0.5947
1118,199,199,0.998
1119,199,203,0.9418
1120,2,812,0.4522
1121,2,2,0.9783
1122,2,2,0.9843
1123,2,2,0.9022
1124,2,2,0.9986
1125,2,2,0.6193
1126,2,2,0.999
1127,2,2,0.9972
1128,2,2,0.9973
1129,2,2,0.3391
1130,20,20,0.7688
1131,20,20,0.9999
1132,20,20,1.0
1133,20,20,0.9992
1134,20,20,0.9752
1135,20,20,0.9915
1136,20,20,0.9993
1137,20,20,0.9524
1138,20,20,0.5035
1139,20,20,1.0
1140,200,194,0.5296
1141,200,200,0.3636
1142,200,221,0.2815
1143,200,232,0.4479
1144,200,200,0.9547
1145,200,204,0.5344
1146,200,200,0.3399
1147,200,226,0.5125
1148,200,200,0.5674
1149,200,200,0.976
1150,201,201,0.9271
1151,201,202,0.9174
1152,201,193,0.5761
1153,201,187,0.8489
1154,201,716,0.3508
1155,201,201,0.8273
1156,201,200,0.4928
1157,201,185,0.2411
1158,201,193,0.9987
1159,201,203,0.6831
1160,202,537,0.3226
1161,202,202,0.9599
1162,202,181,0.9104
1163,202,202,0.5123
1164,202,202,0.983
1165,202,189,0.7137
1166,202,202,0.4326
1167,202,170,0.8057
1168,202,265,0.5136
1169,202,202,0.5309
1170,203,199,0.6573
1171,203,671,0.6066
1172,203,203,0.9247
1173,203,203,0.9323
1174,203,190,0.3184
1175,203,190,0.6518
1176,203,203,0.9491
1177,203,203,0.9038
1178,203,203,0.9541
1179,203,203,0.9168
1180,204,175,0.6165
1181,204,155,0.9801
1182,204,233,0.7321
1183,204,155,0.5717
1184,204,263,0.387
1185,204,257,0.5766
1186,204,204,0.8115
1187,204,153,0.8249
1188,204,203,0.1994
1189,204,155,0.9737
1190,205,205,0.9494
1191,205,205,0.5753
1192,205,205,0.6487
1193,205,205,0.9441
1194,205,205,0.9814
1195,205,369,0.2735
1196,205,205,0.9156
1197,205,850,0.6838
1198,205,205,0.926
1199,205,205,0.9818
1200,206,206,0.681
1201,206,206,0.6636
1202,206,206,0.6231
1203,206,183,0.8966
1204,206,206,0.9174
1205,206,206,0.9791
1206,206,206,0.9774
1207,206,221,0.9282
1208,206,206,0.9679
1209,206,206,0.9999
1210,207,207,0.8366
1211,207,209,0.3753
1212,207,208,0.1882
1213,207,170,0.5048
1214,207,207,0.859
1215,207,207,0.4869
1216,207,151,0.1666
1217,207,163,0.2276
1218,207,213,0.4972
1219,207,294,0.7143
1220,208,208,0.9743
1221,208,208,0.9811
1222,208,248,0.1907
1223,208,170,0.1279
1224,208,208,0.8353
1225,208,208,0.7151
1226,208,208,0.8888
1227,208,208,0.9904
1228,208,178,0.3235
1229,208,208,0.9621
1230,209,209,0.7302
1231,209,209,0.9831
1232,209,209,0.9705
1233,209,209,0.9864
1234,209,209,0.9906
1235,209,209,0.9672
1236,209,670,0.7775
1237,209,209,0.9973
1238,209,209,0.9978
1239,209,209,0.6916
1240,21,21,0.9928
1241,21,21,0.994
1242,21,21,0.5746
1243,21,21,0.9976
1244,21,21,0.8785
1245,21,21,0.9945
1246,21,21,0.9989
1247,21,21,0.8199
1248,21,21,0.9816
1249,21,410,0.4417
1250,210,210,0.9991
1251,210,208,0.3765
1252,210,178,0.853
1253,210,210,0.5313
1254,210,267,0.2832
1255,210,178,0.337
1256,210,246,0.8613
1257,210,537,0.3572
